Instance_Name	=	84_4_3_5
TLots	=	4
TVendors	=	3
TMaxSublots	=	5
MaxSublots=
<Lot,Vendor>
<0,0,0,>	=	3
<0,0,1,>	=	3
<0,0,2,>	=	3
<0,1,0,>	=	5
<0,1,1,>	=	5
<0,1,2,>	=	5
<0,1,3,>	=	5
<0,1,4,>	=	5
<0,2,0,>	=	1
<1,0,0,>	=	3
<1,0,1,>	=	3
<1,0,2,>	=	3
<1,1,0,>	=	2
<1,1,1,>	=	2
<1,2,0,>	=	3
<1,2,1,>	=	3
<1,2,2,>	=	3
<2,0,0,>	=	3
<2,0,1,>	=	3
<2,0,2,>	=	3
<2,1,0,>	=	1
<2,2,0,>	=	4
<2,2,1,>	=	4
<2,2,2,>	=	4
<2,2,3,>	=	4
<3,0,0,>	=	5
<3,0,1,>	=	5
<3,0,2,>	=	5
<3,0,3,>	=	5
<3,0,4,>	=	5
<3,1,0,>	=	3
<3,1,1,>	=	3
<3,1,2,>	=	3
<3,2,0,>	=	1

processing_at_suppliers=
<Lot,Vendor>
<0,0,>	=	1
<0,1,>	=	17
<0,2,>	=	4
<1,0,>	=	9
<1,1,>	=	5
<1,2,>	=	1
<2,0,>	=	6
<2,1,>	=	13
<2,2,>	=	7
<3,0,>	=	11
<3,1,>	=	10
<3,2,>	=	9

processing_at_assembly=
<Lot>
<0>	=	12
<1>	=	17
<2>	=	20
<3>	=	51994

MinMakespan=
<Lot,Vendor,SubLot>
<0,0,0,>	=	13
<0,0,1,>	=	13
<0,0,2,>	=	13
<0,1,0,>	=	29
<0,1,1,>	=	27
<0,1,2,>	=	25
<0,1,3,>	=	21
<0,1,4,>	=	20
<0,2,0,>	=	16
<1,0,0,>	=	26
<1,0,1,>	=	24
<1,0,2,>	=	20
<1,1,0,>	=	22
<1,1,1,>	=	21
<1,2,0,>	=	18
<1,2,1,>	=	18
<1,2,2,>	=	18
<2,0,0,>	=	26
<2,0,1,>	=	25
<2,0,2,>	=	22
<2,1,0,>	=	33
<2,2,0,>	=	27
<2,2,1,>	=	23
<2,2,2,>	=	22
<2,2,3,>	=	21
<3,0,0,>	=	14
<3,0,1,>	=	9
<3,0,2,>	=	6
<3,0,3,>	=	5
<3,0,4,>	=	4
<3,1,0,>	=	13
<3,1,1,>	=	11
<3,1,2,>	=	7
<3,2,0,>	=	12

TransferCost=
<Lot,Vendor,SubLot>
<0,0,0,>	=	3
<0,0,1,>	=	6
<0,0,2,>	=	9
<0,1,0,>	=	4
<0,1,1,>	=	9
<0,1,2,>	=	16
<0,1,3,>	=	21
<0,1,4,>	=	26
<0,2,0,>	=	3
<1,0,0,>	=	3
<1,0,1,>	=	7
<1,0,2,>	=	10
<1,1,0,>	=	4
<1,1,1,>	=	8
<1,2,0,>	=	1
<1,2,1,>	=	2
<1,2,2,>	=	3
<2,0,0,>	=	2
<2,0,1,>	=	5
<2,0,2,>	=	7
<2,1,0,>	=	4
<2,2,0,>	=	4
<2,2,1,>	=	10
<2,2,2,>	=	14
<2,2,3,>	=	18
<3,0,0,>	=	1
<3,0,1,>	=	2
<3,0,2,>	=	3
<3,0,3,>	=	4
<3,0,4,>	=	5
<3,1,0,>	=	1
<3,1,1,>	=	2
<3,1,2,>	=	3
<3,2,0,>	=	2
